Country_Code,Year_1960
ABW,54211
AFG,8996351
AGO,5643182
ALB,1608800
AND,13411
ARB,92490932
ARE,92634
ARG,20619075
ARM,1874120
ASM,20013
ATG,55339
AUS,10276477
AUT,7047539
AZE,3895396
BDI,2786106
BEL,9153489
BEN,2431622
BFA,4829288
BGD,48199747
BGR,7867374
BHR,162427
BHS,109528
BIH,3225668
BLR,8198000
BLZ,92064
BMU,44400
BOL,3693449
BRA,72207554
BRB,230939
BRN,81745
BTN,223288
BWA,524552
CAF,1503508
CAN,17909009
CEB,91401583
CHE,5327827
CHI,109420
CHL,7716625
CHN,667070000
CIV,3558988
CMR,5176268
COD,15248251
COG,1037220
COL,16480383
COM,191121
CPV,202310
CRI,1333040
CSS,4198307
CUB,7141135
CUW,124826
CYM,7865
CYP,572930
CZE,9602006
DEU,72814900
DJI,83636
DMA,60011
DNK,4579603
DOM,3294042
DZA,11124888
EAP,896038340
EAR,979226919
EAS,1042016962
ECA,279087938
ECS,667246384
ECU,4545550
EGY,26996533
EMU,265396502
ERI,1397491
ESP,30455000
EST,1211537
ETH,22151278
EUU,409498463
FCS,118438495
FIN,4429634
FJI,393386
FRA,46814237
FRO,34661
FSM,44537
GAB,499184
GBR,52400000
GEO,3645600
GHA,6652287
GIB,23394
GIN,3577409
GMB,367928
GNB,616409
GNQ,255323
GRC,8331725
GRD,89869
GRL,32500
GTM,4210747
GUM,66742
GUY,571819
HIC,754609427
HKG,3075605
HND,2038637
HPC,162495580
HRV,4140000
HTI,3866159
HUN,9983967
IBD,1919407887
IBT,2301897627
IDA,382489740
IDB,123195063
IDN,87792515
IDX,259294677
IMN,48442
IND,449480608
IRL,2828600
IRN,21906903
IRQ,7289761
ISL,175574
ISR,2114020
ITA,50199700
JAM,1628252
JOR,932257
JPN,92500572
KAZ,9714260
KEN,8105440
KGZ,2172300
KHM,5722370
KIR,41233
KNA,51195
KOR,25012374
KWT,269618
LAC,206288466
LAO,2120896
LBN,1804926
LBR,1120313
LBY,1448417
LCA,89897
LCN,220434162
LDC,240997519
LIC,154670163
LIE,16495
LKA,9896000
LMC,955530364
LMY,2275439437
LSO,851591
LTE,1099314242
LTU,2778550
LUX,313970
LVA,2120979
MAC,167796
MAF,4279
MAR,12328532
MCO,22452
MDA,2544000
MDG,5099373
MDV,89887
MEA,105488678
MEX,38174112
MHL,14662
MIC,2124913707
MKD,1488667
MLI,5263733
MLT,326550
MMR,20986123
MNA,97837766
MNE,480579
MNG,955505
MNP,10035
MOZ,7388695
MRT,858168
MUS,659351
MWI,3618595
MYS,8157106
NAC,198624409
NAM,602544
NCL,79000
NER,3388764
NGA,45137812
NIC,1774699
NLD,11486631
NOR,3581239
NPL,10063011
NRU,4433
NZL,2371800
OED,788709114
OMN,551740
OSS,9196324
PAK,44908293
PAN,1132921
PER,10061515
PHL,26273025
PLW,9642
PNG,2010677
POL,29637450
PRE,188636191
PRI,2358000
PRK,11424176
PRT,8857716
PRY,1902875
PSE,
PSS,865809
PST,754705296
PYF,78076
QAT,47384
ROU,18406905
RUS,119897000
RWA,2933428
SAS,571857185
SAU,4086539
SDN,7544491
SEN,3206749
SGP,1646400
SLB,117866
SLE,2297110
SLV,2762899
SMR,15397
SOM,2755947
SRB,
SSA,228483817
SSD,2955152
SSF,228525517
SST,14260440
STP,64253
SUR,289966
SVK,4068095
SVN,1584720
SWE,7484656
SWZ,349174
SXM,
SYC,41700
SYR,4573512
TCA,5726
TCD,3001593
TEA,884594151
TEC,308725388
TGO,1580513
THA,27397175
TJK,2087038
TKM,1603258
TLA,210357620
TLS,499950
TMN,97837766
TON,61601
TSA,571857185
TSS,228525517
TTO,848479
TUN,4176266
TUR,27472331
TUV,6104
TZA,10074507
UGA,6788214
UKR,42662149
UMC,1169383343
URY,2538651
USA,180671000
UZB,8549493
VCT,80949
VEN,8146847
VGB,8033
VIR,32000
VNM,34743000
VUT,63699
WLD,3034193297
WSM,108646
XKX,947000
YEM,5172135
ZAF,17396367
ZMB,3044846
ZWE,3747369
