num,id,name,hours,n,y,gnum
1,151603712,The Elder Scrolls V Skyrim,273,0,1,26
1,151603712,Fallout 4,87,0,1,26
1,151603712,Spore,14.9,0,1,26
1,151603712,Fallout New Vegas,12.1,0,1,26
1,151603712,Left 4 Dead 2,8.9,0,1,26
1,151603712,HuniePop,8.5,0,1,26
1,151603712,Path of Exile,8.1,0,1,26
1,151603712,Poly Bridge,7.5,0,1,26
1,151603712,Left 4 Dead,3.3,0,1,26
1,151603712,Team Fortress 2,2.8,0,1,26
1,151603712,Tomb Raider,2.5,0,1,26
1,151603712,The Banner Saga,2,0,1,26
1,151603712,Dead Island Epidemic,1.4,0,1,26
1,151603712,BioShock Infinite,1.3,0,1,26
1,151603712,Dragon Age Origins - Ultimate Edition,1.3,0,1,26
1,151603712,Fallout 3 - Game of the Year Edition,0.8,0,1,26
1,151603712,SEGA Genesis & Mega Drive Classics,0.8,0,1,26
1,151603712,Grand Theft Auto IV,0.6,0,1,26
1,151603712,Realm of the Mad God,0.5,0,1,26
1,151603712,Marvel Heroes 2015,0.5,0,1,26
1,151603712,Eldevin,0.5,0,1,26
1,151603712,Dota 2,0.5,0,1,26
1,151603712,BioShock,0.5,0,1,26
1,151603712,Robocraft,0.4,0,1,26
1,151603712,Garry's Mod,0.1,0,1,26
1,151603712,Jazzpunk,0.1,0,1,26
2,187131847,Dota 2,2.3,0,1,1
3,59945701,Ultra Street Fighter IV,238,0,1,22
3,59945701,FINAL FANTASY XIII,84,0,1,22
3,59945701,The Elder Scrolls V Skyrim,58,0,1,22
3,59945701,Sid Meier's Civilization V,22,0,1,22
3,59945701,L.A. Noire,13.8,0,1,22
3,59945701,Company of Heroes Tales of Valor,10.2,0,1,22
3,59945701,7 Days to Die,7.8,0,1,22
3,59945701,Divekick,7,0,1,22
3,59945701,FINAL FANTASY VII,5.2,0,1,22
3,59945701,Orcs Must Die! 2,4.8,0,1,22
3,59945701,Killing Floor,3.4,0,1,22
3,59945701,Company of Heroes,3.2,0,1,22
3,59945701,Bastion,2.8,0,1,22
3,59945701,Undertale,2.6,0,1,22
3,59945701,Counter-Strike Global Offensive,2.3,0,1,22
3,59945701,Orcs Must Die!,0.7,0,1,22
3,59945701,THE KING OF FIGHTERS XIII STEAM EDITION,0.6,0,1,22
3,59945701,GUILTY GEAR XX ACCENT CORE PLUS R,0.5,0,1,22
3,59945701,Skullgirls,0.4,0,1,22
3,59945701,Assassin's Creed II,0.3,0,1,22
3,59945701,Company of Heroes Opposing Fronts,0.1,0,1,22
3,59945701,Team Fortress 2,0.1,0,1,22
4,53875128,Grand Theft Auto V,86,0,1,197
4,53875128,Insurgency,72,0,1,197
4,53875128,Left 4 Dead 2,71,0,1,197
4,53875128,METAL GEAR SOLID V THE PHANTOM PAIN,59,0,1,197
4,53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,54,0,1,197
4,53875128,S.T.A.L.K.E.R. Call of Pripyat,50,0,1,197
4,53875128,Saints Row The Third,35,0,1,197
4,53875128,Far Cry 3,35,0,1,197
4,53875128,S.T.A.L.K.E.R. Clear Sky,35,0,1,197
4,53875128,Rocket League,34,0,1,197
4,53875128,Assassin's Creed II,33,0,1,197
4,53875128,Far Cry 4,32,0,1,197
4,53875128,Prototype,25,0,1,197
4,53875128,Space Pirates and Zombies,24,0,1,197
4,53875128,Dying Light,23,0,1,197
4,53875128,Just Cause 2,23,0,1,197
4,53875128,Mirror's Edge,23,0,1,197
4,53875128,Mad Max,22,0,1,197
4,53875128,Portal 2,21,0,1,197
4,53875128,Deus Ex Human Revolution,21,0,1,197
4,53875128,Middle-earth Shadow of Mordor,19.6,0,1,197
4,53875128,RUNNING WITH RIFLES,18.5,0,1,197
4,53875128,Deus Ex Human Revolution - Director's Cut,18.3,0,1,197
4,53875128,Batman Arkham City GOTY,16.9,0,1,197
4,53875128,Tropico 4,14.3,0,1,197
4,53875128,Cave Story+,13.7,0,1,197
4,53875128,Dust An Elysian Tail,13.4,0,1,197
4,53875128,F.E.A.R.,12.5,0,1,197
4,53875128,South Park The Stick of Truth,12.2,0,1,197
4,53875128,Sleeping Dogs,11.5,0,1,197
4,53875128,Watch_Dogs,11.2,0,1,197
4,53875128,Saints Row IV,11.1,0,1,197
4,53875128,DayZ,11,0,1,197
4,53875128,Half-Life 2,10.2,0,1,197
4,53875128,Reassembly,10.1,0,1,197
4,53875128,Sid Meier's Civilization III Complete,9.8,0,1,197
4,53875128,The Talos Principle,9.8,0,1,197
4,53875128,DiRT 3,9.7,0,1,197
4,53875128,FTL Faster Than Light,9.7,0,1,197
4,53875128,Bastion,9.6,0,1,197
4,53875128,Age of Empires II HD Edition,9,0,1,197
4,53875128,Batman Arkham Asylum GOTY Edition,8.9,0,1,197
4,53875128,Gunpoint,8.6,0,1,197
4,53875128,Rebuild 3 Gangs of Deadsville,8.4,0,1,197
4,53875128,Recettear An Item Shop's Tale,8.3,0,1,197
4,53875128,Metro 2033,7.8,0,1,197
4,53875128,Monaco,7.6,0,1,197
4,53875128,Fallout New Vegas,7.5,0,1,197
4,53875128,Overgrowth,7.3,0,1,197
4,53875128,Assassin's Creed III,7.2,0,1,197
4,53875128,Ori and the Blind Forest,7,0,1,197
4,53875128,Far Cry 3 Blood Dragon,6.7,0,1,197
4,53875128,Burnout Paradise The Ultimate Box,6.6,0,1,197
4,53875128,PROTOTYPE 2,6.4,0,1,197
4,53875128,Game Dev Tycoon,6.4,0,1,197
4,53875128,Sniper Elite 3,6.2,0,1,197
4,53875128,Gratuitous Space Battles,6,0,1,197
4,53875128,Sid Meier's Civilization V,5.9,0,1,197
4,53875128,Rogue Legacy,5.7,0,1,197
4,53875128,Plague Inc Evolved,5.6,0,1,197
4,53875128,From Dust,5.6,0,1,197
4,53875128,Next Car Game Wreckfest,5.5,0,1,197
4,53875128,Rivals of Aether,5.5,0,1,197
4,53875128,Half-Life 2 Episode Two,5.5,0,1,197
4,53875128,Rise of Nations Extended Edition,5.2,0,1,197
4,53875128,Nidhogg,4.9,0,1,197
4,53875128,Spec Ops The Line,4.4,0,1,197
4,53875128,Dishonored,4.3,0,1,197
4,53875128,Half-Life 2 Episode One,4.2,0,1,197
4,53875128,Wolfenstein The New Order,4,0,1,197
4,53875128,Distance,4,0,1,197
4,53875128,Epic Battle Fantasy 4,4,0,1,197
4,53875128,Metro Last Light,3.7,0,1,197
4,53875128,Miasmata,3.4,0,1,197
4,53875128,Dead Space,3.3,0,1,197
4,53875128,Hotline Miami,3.2,0,1,197
4,53875128,NOT A HERO,3,0,1,197
4,53875128,Receiver,2.9,0,1,197
4,53875128,Crypt of the NecroDancer,2.8,0,1,197
4,53875128,Portal,2.8,0,1,197
4,53875128,F.E.A.R. 2 Project Origin,2.8,0,1,197
4,53875128,NaissanceE,2.7,0,1,197
4,53875128,SteamWorld Dig,2.6,0,1,197
4,53875128,Kairo,2.5,0,1,197
4,53875128,SNOW,2.5,0,1,197
4,53875128,The Binding of Isaac,2.4,0,1,197
4,53875128,LEGO The Lord of the Rings,2.2,0,1,197
4,53875128,METAL GEAR RISING REVENGEANCE,2.2,0,1,197
4,53875128,Starpoint Gemini 2,2,0,1,197
4,53875128,The Vanishing of Ethan Carter,1.9,0,1,197
4,53875128,Goat Simulator,1.9,0,1,197
4,53875128,Mass Effect,1.9,0,1,197
4,53875128,Arma 2 Operation Arrowhead,1.8,0,1,197
4,53875128,METAL GEAR SOLID V GROUND ZEROES,1.8,0,1,197
4,53875128,Banished,1.8,0,1,197
4,53875128,DiRT Showdown,1.7,0,1,197
4,53875128,Left 4 Dead,1.7,0,1,197
4,53875128,Sonic Adventure 2 ,1.6,0,1,197
4,53875128,Grand Theft Auto IV,1.5,0,1,197
4,53875128,Battlestations Midway,1.4,0,1,197
4,53875128,HOARD,1.4,0,1,197
4,53875128,Sunless Sea,1.3,0,1,197
4,53875128,Mark of the Ninja,1.3,0,1,197
4,53875128,L.A. Noire,1.3,0,1,197
4,53875128,Creeper World 3 Arc Eternal,1.1,0,1,197
4,53875128,Turbo Dismount,1.1,0,1,197
4,53875128,Floating Point,1.1,0,1,197
4,53875128,Grow Home,1.1,0,1,197
4,53875128,LUFTRAUSERS,1,0,1,197
4,53875128,Arma 2,1,0,1,197
4,53875128,No Time To Explain Remastered,0.9,0,1,197
4,53875128,FEZ,0.9,0,1,197
4,53875128,Delver,0.9,0,1,197
4,53875128,The Legend of Heroes Trails in the Sky,0.9,0,1,197
4,53875128,Evoland,0.9,0,1,197
4,53875128,Bleed,0.8,0,1,197
4,53875128,Borderlands 2,0.8,0,1,197
4,53875128,Race The Sun,0.8,0,1,197
4,53875128,Shadowgrounds,0.8,0,1,197
4,53875128,They Bleed Pixels,0.8,0,1,197
4,53875128,BioShock,0.8,0,1,197
4,53875128,Trine,0.8,0,1,197
4,53875128,"Sir, You Are Being Hunted",0.8,0,1,197
4,53875128,Next Car Game Sneak Peek 2.0,0.7,0,1,197
4,53875128,Symphony,0.7,0,1,197
4,53875128,DLC Quest,0.7,0,1,197
4,53875128,Far Cry 2,0.7,0,1,197
4,53875128,The Stanley Parable,0.6,0,1,197
4,53875128,Freedom Planet,0.6,0,1,197
4,53875128,KHOLAT,0.6,0,1,197
4,53875128,Osmos,0.6,0,1,197
4,53875128,Secrets of Rtikon,0.6,0,1,197
4,53875128,Oil Rush,0.6,0,1,197
4,53875128,Unepic,0.6,0,1,197
4,53875128,FINAL FANTASY VII,0.6,0,1,197
4,53875128,The Legend of Korra,0.5,0,1,197
4,53875128,404Sight,0.5,0,1,197
4,53875128,Dark Souls Prepare to Die Edition,0.5,0,1,197
4,53875128,Gravity Ghost,0.5,0,1,197
4,53875128,Psychonauts,0.5,0,1,197
4,53875128,Rock of Ages,0.5,0,1,197
4,53875128,Spore,0.5,0,1,197
4,53875128,Half-Life 2 Lost Coast,0.5,0,1,197
4,53875128,Galcon Legends,0.5,0,1,197
4,53875128,Air Brawl,0.5,0,1,197
4,53875128,Cat Goes Fishing,0.5,0,1,197
4,53875128,One Finger Death Punch,0.5,0,1,197
4,53875128,Mind Path to Thalamus Enhanced Edition,0.4,0,1,197
4,53875128,INK,0.4,0,1,197
4,53875128,Intrusion 2,0.4,0,1,197
4,53875128,Amnesia The Dark Descent,0.4,0,1,197
4,53875128,Fieldrunners,0.4,0,1,197
4,53875128,Out There Somewhere,0.4,0,1,197
4,53875128,KAMI,0.4,0,1,197
4,53875128,Lone Survivor The Director's Cut,0.4,0,1,197
4,53875128,NightSky,0.4,0,1,197
4,53875128,Frozen Synapse,0.4,0,1,197
4,53875128,Hammerfight,0.4,0,1,197
4,53875128,Spintires,0.4,0,1,197
4,53875128,Ziggurat,0.4,0,1,197
4,53875128,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0.4,0,1,197
4,53875128,Dead Island,0.3,0,1,197
4,53875128,Superbrothers Sword & Sworcery EP,0.3,0,1,197
4,53875128,GRID 2,0.3,0,1,197
4,53875128,Sonic & All-Stars Racing Transformed,0.3,0,1,197
4,53875128,Call of Juarez Gunslinger,0.3,0,1,197
4,53875128,Crysis 2 Maximum Edition,0.3,0,1,197
4,53875128,Strike Vector,0.3,0,1,197
4,53875128,Prison Architect,0.3,0,1,197
4,53875128,Lego Harry Potter,0.3,0,1,197
4,53875128,Outlast,0.3,0,1,197
4,53875128,Super Hexagon,0.2,0,1,197
4,53875128,WRC 4 FIA WORLD RALLY CHAMPIONSHIP,0.2,0,1,197
4,53875128,Valkyria Chronicles,0.2,0,1,197
4,53875128,Shatter,0.2,0,1,197
4,53875128,Proteus,0.2,0,1,197
4,53875128,Jamestown,0.2,0,1,197
4,53875128,Spelunky,0.2,0,1,197
4,53875128,Astebreed,0.2,0,1,197
4,53875128,STAR WARS Knights of the Old Republic II The Sith Lords,0.2,0,1,197
4,53875128,Phantom Breaker Battle Grounds,0.2,0,1,197
4,53875128,Tom Clancy's Splinter Cell Chaos Theory,0.2,0,1,197
4,53875128,The Witcher Enhanced Edition,0.2,0,1,197
4,53875128,Risk of Rain,0.2,0,1,197
4,53875128,Survarium,0.2,0,1,197
4,53875128,Afterlife Empire,0.2,0,1,197
4,53875128,BattleBlock Theater,0.2,0,1,197
4,53875128,Need for Speed Hot Pursuit,0.2,0,1,197
4,53875128,BIT.TRIP RUNNER,0.1,0,1,197
4,53875128,Coin Crypt,0.1,0,1,197
4,53875128,Skullgirls,0.1,0,1,197
4,53875128,The Crew,0.1,0,1,197
4,53875128,Metro Last Light Redux,0.1,0,1,197
4,53875128,Crimzon Clover  WORLD IGNITION,0.1,0,1,197
4,53875128,Sonic Generations,0.1,0,1,197
4,53875128,Ethan Meteor Hunter,0.1,0,1,197
4,53875128,Reus,0.1,0,1,197
5,140954425,Team Fortress 2,13,0,1,1
6,26122540,Call of Duty Modern Warfare 2 - Multiplayer,92,0,1,7
6,26122540,Call of Duty Modern Warfare 2,47,0,1,7
6,26122540,Call of Duty Black Ops - Multiplayer,22,0,1,7
6,26122540,Counter-Strike Source,10.3,0,1,7
6,26122540,Dungeon Defenders,6.8,0,1,7
6,26122540,Call of Duty Black Ops,3.1,0,1,7
6,26122540,Day of Defeat Source,1.1,0,1,7
7,176410694,Dota 2,9.1,0,1,1
8,150128162,Team Fortress 2,42,0,1,1
9,197455089,Dota 2,3.4,0,1,1
10,63024728,Empire Total War,42,0,1,1
11,297811211,ARK Survival Evolved,29,0,1,3
11,297811211,Team Fortress 2,10.1,0,1,3
11,297811211,Unturned,5.6,0,1,3
12,76933274,Alien Swarm,1,0,1,1
13,218323237,Dota 2,14.8,0,1,3
13,218323237,Tomb Raider,8.8,0,1,3
13,218323237,TERA,0.9,0,1,3
14,302186258,Dota 2,4.2,0,1,1
15,126340495,Dota 2,1784,0,1,17
15,126340495,Counter-Strike Global Offensive,626,0,1,17
15,126340495,Counter-Strike Source,176,0,1,17
15,126340495,Rust,69,0,1,17
15,126340495,Saints Row IV,48,0,1,17
15,126340495,Team Fortress 2,16.1,0,1,17
15,126340495,Dead Island Riptide,13.6,0,1,17
15,126340495,Flatout 3,11.7,0,1,17
15,126340495,Garry's Mod,10.2,0,1,17
15,126340495,Counter-Strike Nexon Zombies,5.8,0,1,17
15,126340495,Outlast,4.1,0,1,17
15,126340495,Robocraft,2.3,0,1,17
15,126340495,Far Cry 3,2.2,0,1,17
15,126340495,Everlasting Summer,0.6,0,1,17
15,126340495,Dead Island Epidemic,0.6,0,1,17
15,126340495,War Thunder,0.4,0,1,17
15,126340495,DCS World,0.3,0,1,17
16,194895541,Dota 2,1.1,0,1,2
16,194895541,Tactical Intervention,0.4,0,1,2
17,170625356,Dota 2,7.4,0,1,1
18,167362888,Dota 2,135,0,1,1
19,208649703,Counter-Strike Global Offensive,125,0,1,1
20,225987202,Dota 2,3.8,0,1,1
21,195071563,Dota 2,6.2,0,1,1
22,254906420,Team Fortress 2,1.2,0,1,1
23,247160953,Dota 2,1.9,0,1,1
24,308653033,Unturned,0.6,0,1,1
25,144138643,Dota 2,5.2,0,1,1
